Formula Name MW[g/mol] Tc[K] Pc[bar] omega A B C Tmin Tmax
CH2O Formaldehyde 30.026 408 65.86 0.253 9.8573 2204.13 -30.15 185 271
CH4 Methane 16.042 190.6 46.00 0.008 8.6041 897.84 -7.16 93 120
CH4O Methanol 32.042 512.6 80.96 0.559 11.9673 3626.55 -34.29 257 364
C2H4 Acetylene 26.038 308.3 61.40 0.184 9.7279 1637.14 -19.77 194 202
C2H3N Acetonitrile 41.052 548 48.33 0.321 9.6672 2945.47 -49.15 260 390
C2H4 Ethylene 28.053 282.4 50.36 0.085 8.9166 1347.01 -18.15 120 182
C2H4O Acetaldehyde 44.053 461 55.73 0.303 9.6279 2465.15 -37.15 210 320
C2H4O Ethylene oxide 44.053 469 71.94 0.200 10.1198 2567.61 -29.01 300 310
C2H4O2 Acetic acid 60.052 594.4 57.86 0.454 10.1878 3405.57 -56.34 290 430
C2H6 Ethane 30.069 305.4 48.74 0.099 9.0435 1511.42 -17.16 130 199
C2H6O Ethanol 46.068 516.2 63.83 0.635 12.2917 3803.98 -41.68 270 369
C3H6 Propylene 42.080 365.0 46.20 0.148 9.0825 1807.53 -26.15 160 240
C3H6O Acetone 58.079 508.1 47.01 0.309 10.0311 2940.46 -35.93 241 350
C3H8 Propane 44.096 370.0 42.44 0.152 9.1058 1872.46 -25.16 164 249
C3H8O 1-Propanol 60.095 536.7 51.68 0.624 10.9237 3166.38 -80.15 285 400
C4H6 1,3-Butadiene 54.090 425 43.27 0.195 9.1525 2142.66 -34.30 215 290
C4H8 cis-2-Butene 56.106 435.6 42.05 0.202 9.1969 2210.71 -36.15 200 305
C4H8 trans-2-Butene 56.106 428.6 41.04 0.214 9.1975 2212.32 -33.15 200 300
C4H8O2 Ethyl acetate 88.105 523.2 38.30 0.363 9.5314 2790.50 -57.15 260 385
C4H10 n-Butane 58.122 425.2 37.90 0.193 9.0580 2154.90 -34.42 195 290
C4H10 Isobutane 58.122 408.1 36.48 0.176 8.9179 2032.76 -33.15 187 280
C4H10O n-Butanol 74.122 562.9 44.18 0.590 10.5958 3137.02 -94.43 288 404
C5H10 1-Pentene 70.133 464.7 40.53 0.245 9.1444 2405.96 -39.63 220 325
C5H12 n-Pentane 72.149 469.6 33.74 0.251 9.2131 2477.07 -39.94 220 330
C6H6 Benzene 78.112 562.1 48.94 0.212 9.2806 2788.51 -52.36 280 377
C6H6O Phenol 94.111 694.2 61.30 0.440 9.8077 3490.89 -98.59 345 481
C6H7N Aniline 93.127 699 53.09 0.382 10.0546 3857.52 -73.15 340 500
C6H12 Cyclohexane 84.159 553.4 40.73 0.213 9.1325 2766.63 -50.50 280 380
C6H12 1-Hexene 84.159 504.0 31.71 0.285 9.1887 2654.81 -47.30 240 360
C6H14 n-Hexane 86.175 507.4 29.69 0.296 9.2164 2697.55 -48.78 245 370
C7H8 Toluene 92.138 591.7 41.14 0.257 9.3935 3096.52 -53.67 280 410
C7H14 1-Heptene 98.186 537.2 28.37 0.358 9.2692 2895.51 -53.97 265 400
C7H16 n-Heptane 100.202 540.2 27.36 0.351 9.2535 2911.32 -56.51 270 400
C8H8 Styrene 104.149 647.0 39.92 0.257 9.3991 3328.57 -63.72 305 460
C8H10 o-Xylene 106.165 630.2 37.29 0.314 9.4954 3395.57 -59.46 305 445
C8H10 m-Xylene 106.165 617.0 35.46 0.331 9.5188 3366.99 -58.04 300 440
C8H10 p-Xylene 106.165 616.2 35.16 0.324 9.4761 3346.65 -57.84 300 440
C8H10 Ethylbenzene 106.165 617.1 36.07 0.301 9.3993 3279.47 -59.95 300 450
C8H16 1-Octene 112.213 566.6 26.24 0.386 9.3428 3116.52 -60.39 288 420
C8H18 n-Octane 114.229 568.8 24.82 0.394 9.3224 3120.29 -63.63 292 425
C9H20 n-Nonane 128.255 594.6 23.10 0.444 9.3469 3291.45 -71.33 312 452
C10H8 Naphthalene 128.171 748.4 40.53 0.302 9.5224 3992.01 -71.29 360 545
C10H22 n-Decane 142.282 617.6 21.08 0.490 9.3912 3456.80 -78.67 330 476
